Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-3977.969	-4239.216	261.247	1.949686	0.655747	0.344253	1.324025
6	-3986.921	-4247.959	261.0379	1.941259	0.730309	0.269691	1.492793
12	-3993.084	-4254.061	260.9773	1.845818	0.723077	0.276923	1.60797
18	-3987.727	-4248.516	260.7888	1.698395	0.656221	0.343779	1.844594
24	-3988.12	-4249.178	261.0579	1.919961	0.639087	0.360913	1.493744
30	-3979.388	-4240.507	261.1189	1.817878	0.691352	0.308648	1.524499
36	-3975.376	-4236.573	261.1966	1.92886	0.747923	0.252077	1.380527
42	-3987.707	-4248.762	261.0545	1.930628	0.698933	0.301067	1.488287
48	-3992.453	-4253.707	261.2533	1.875969	0.719787	0.280213	1.377602
54	-3990.762	-4251.926	261.165	1.914226	0.707475	0.292525	1.416575
60	-3978.956	-4240.035	261.079	2.007404	0.757127	0.242873	1.410974
66	-3975.629	-4236.927	261.2977	2.007404	0.703104	0.296896	1.235046
72	-3972.412	-4233.823	261.4114	2.044525	0.728714	0.271286	1.103151
78	-3979.848	-4241.096	261.2479	1.997026	0.687309	0.312691	1.284914
84	-3972.915	-4234.122	261.2079	2.031829	0.7334	0.2666	1.289197
90	-3988.57	-4249.776	261.2062	2.033514	0.563817	0.436183	1.289197
96	-3975.93	-4237.117	261.1874	1.874852	0.770785	0.229215	1.429636
102	-3970.31	-4231.522	261.2122	1.977751	0.737387	0.262613	1.329433
108	-3992.69	-4253.956	261.2658	1.993665	0.671003	0.328997	1.272992
114	-3985.011	-4246.216	261.2046	2.054421	0.657782	0.342218	1.273333
120	-3982.793	-4243.563	260.7702	1.863628	0.657782	0.342218	1.742926
126	-3995.096	-4256.237	261.1412	1.991964	0.657782	0.342218	1.374508
132	-3984.814	-4246.175	261.3617	2.108507	0.664712	0.335288	1.090028
138	-3991.73	-4252.872	261.1421	2.143601	0.768624	0.231376	1.251248
144	-3982.368	-4243.68	261.3119	2.217988	0.696147	0.303853	1.033625
150	-3995.05	-4256.409	261.3598	2.170091	0.714393	0.285607	1.033625
156	-3988.304	-4249.592	261.2881	2.170091	0.653633	0.346367	1.101076
162	-3983.53	-4244.821	261.2907	2.10286	0.749564	0.250436	1.159043
168	-3982.764	-4244.129	261.3658	2.133462	0.677086	0.322914	1.062897
174	-3989.734	-4251.176	261.4421	2.133462	0.686419	0.313581	0.988453
180	-3972.578	-4233.911	261.333	2.144245	0.611031	0.388969	1.083581
186	-3989.414	-4250.834	261.4199	2.124245	0.711017	0.288983	1.019707
192	-3989.337	-4250.763	261.4263	2.118852	0.764102	0.235898	1.018812
198	-3982.827	-4244.18	261.3525	2.11421	0.744854	0.255146	1.093255
204	-3979.963	-4241.286	261.323	2.178154	0.71284	0.28716	1.061139
210	-3972.176	-4233.63	261.4541	2.178154	0.71284	0.28716	0.9291638
216	-3991.87	-4253.276	261.4063	2.225988	0.751868	0.248132	0.9291638
222	-3992.856	-4254.273	261.4169	2.225988	0.706729	0.293271	0.9176309
228	-3983.2	-4244.67	261.4696	2.235593	0.70677	0.29323	0.8455286
234	-3986.681	-4248.103	261.4213	2.242384	0.70677	0.29323	0.894449
240	-3980.957	-4242.337	261.3792	2.345882	0.602487	0.397513	0.8207385
246	-3983.579	-4244.919	261.3401	2.27771	0.633623	0.366377	0.9446968
252	-4012.082	-4273.359	261.2766	2.27771	0.690138	0.309862	1.009706
258	-3993.225	-4254.606	261.3814	2.412453	0.693915	0.306085	0.7228628
264	-3994.046	-4255.51	261.4639	2.303338	0.609894	0.390106	0.7634457
270	-3985.353	-4246.765	261.4125	2.285575	0.677419	0.322581	0.8542378
276	-3990.379	-4251.803	261.4239	2.231877	0.724995	0.275005	0.90328
282	-3995.365	-4256.826	261.4608	2.231877	0.710605	0.289395	0.8607575
288	-3976.275	-4237.756	261.4803	2.201341	0.745041	0.254959	0.8737782
294	-3992.286	-4253.681	261.395	2.20408	0.739756	0.260244	0.9643819
300	-3989.586	-4250.973	261.3876	2.182169	0.687894	0.312106	0.9942846
306	-3981.781	-4243.091	261.31	2.085951	0.687894	0.312106	1.156939
312	-3984.743	-4246.085	261.3421	2.086649	0.726615	0.273385	1.127825
318	-3978.441	-4239.696	261.2551	2.040418	0.752142	0.247858	1.243064
324	-3988.631	-4249.919	261.2886	2.110337	0.618802	0.381198	1.154331
330	-3998.055	-4259.288	261.2334	1.846121	0.623573	0.376427	1.416297
336	-4015.59	-4276.628	261.0384	1.825638	0.676098	0.323902	1.578135
342	-4006.748	-4267.893	261.1454	1.955495	0.729974	0.270026	1.399744
348	-3980.611	-4241.819	261.2079	1.998033	0.729974	0.270026	1.316592
354	-3981.473	-4242.569	261.0964	1.998033	0.647643	0.352357	1.40475
360	-3993.412	-4254.659	261.2468	2.102089	0.685385	0.314615	1.197899
366	-3980.969	-4242.254	261.2848	2.016685	0.693627	0.306373	1.238096
372	-3989.488	-4250.759	261.2703	2.022138	0.693627	0.306373	1.245686
378	-3979.502	-4240.687	261.1853	1.874931	0.703841	0.296159	1.431188
384	-3990.152	-4251.33	261.1785	1.929558	0.703841	0.296159	1.394165
390	-3988.244	-4249.25	261.0063	1.902968	0.750456	0.249544	1.544874
396	-3984.348	-4245.489	261.1409	1.908721	0.663936	0.336064	1.439282
402	-3992.819	-4253.967	261.1476	1.863498	0.714025	0.285975	1.468705
408	-3981.741	-4242.836	261.0956	1.887986	0.714025	0.285975	1.489475
414	-3990.707	-4251.905	261.1984	1.94964	0.741235	0.258765	1.362809
420	-3989.236	-4250.479	261.2431	2.032683	0.76845	0.23155	1.259501
426	-3996.808	-4258.193	261.3852	2.057938	0.739956	0.260044	1.114835
432	-3995.414	-4256.715	261.3012	2.051217	0.646386	0.353614	1.194817
